detectorid,stationid,milepost,lanenumber
101165,3140,10.04,3
101166,3140,10.04,2
101167,3140,10.04,1
101162,3138,6.7,3
101163,3138,6.7,2
101164,3138,6.7,1
101159,3136,5.82,3
101160,3136,5.82,2
101161,3136,5.82,1
101156,3134,5.03,3
101157,3134,5.03,2
101158,3134,5.03,1
101153,3132,4.25,3
101154,3132,4.25,2
101155,3132,4.25,1
101150,3176,3.36,3
101151,3176,3.36,2
101152,3176,3.36,1
101143,3175,1.82,3
101144,3175,1.82,2
101145,3175,1.82,1
101140,3128,1.21,3
101141,3128,1.21,2
101142,3128,1.21,1
101137,3126,0.45,3
101138,3126,0.45,2
101139,3126,0.45,1
100904,10212,14.43,3
100905,10212,14.43,2
100906,10212,14.43,1
100900,1059,4.9,3
100901,1059,4.9,2
100902,1059,4.9,1
100897,1060,3.43,3
100898,1060,3.43,2
100899,1060,3.43,1
100894,1061,2.4,3
100895,1061,2.4,2
100896,1061,2.4,1
100890,1062,2.1,4
100891,1062,2.1,3
100892,1062,2.1,2
100893,1062,2.1,1
102095,1004,289.63,5
102096,1004,289.63,4
102097,1004,289.63,3
102098,1004,289.63,2
102099,1004,289.63,1
102090,1003,289.4,5
102091,1003,289.4,4
102092,1003,289.4,3
102093,1003,289.4,2
102094,1003,289.4,1
102034,10379,303.1,2
102035,10379,303.1,1
101915,10356,300.99,2
101916,10356,300.99,1
101689,3124,305.9,3
101690,3124,305.9,2
101691,3124,305.9,1
101299,10317,291.47,4
101300,10317,291.47,3
101301,10317,291.47,2
101302,10317,291.47,1
101028,3123,305.6,3
101029,3123,305.6,2
101030,3123,305.6,1
101024,3171,303.47,2
101025,3171,303.47,1
100797,1025,307.9,3
100798,1025,307.9,2
100799,1025,307.9,1
100794,1024,307.46,3
100795,1024,307.46,2
100796,1024,307.46,1
100792,1023,306.51,2
100793,1023,306.51,1
100788,1021,305.12,2
100789,1021,305.12,1
100786,1020,304.4,2
100787,1020,304.4,1
100784,1019,303.88,2
100785,1019,303.88,1
100782,1018,302.5,2
100783,1018,302.5,1
100767,1012,296.6,3
100768,1012,296.6,2
100769,1012,296.6,1
100764,1011,296.26,3
100765,1011,296.26,2
100766,1011,296.26,1
100761,1010,295.18,3
100762,1010,295.18,2
100763,1010,295.18,1
100758,1009,293.74,3
100759,1009,293.74,2
100760,1009,293.74,1
100755,1008,293.18,3
100756,1008,293.18,2
100757,1008,293.18,1
100701,3117,297.6,3
100702,3117,297.6,2
100703,3117,297.6,1
100584,1130,283.93,3
100585,1130,283.93,2
100586,1130,283.93,1
100562,1001,286.1,3
100563,1001,286.1,2
100564,1001,286.1,1
100551,3191,287.46,4
100552,3191,287.46,3
100553,3191,287.46,2
100554,3191,287.46,1
100548,3165,285.58,3
100549,3165,285.58,2
100550,3165,285.58,1
100435,1007,292.18,3
100436,1007,292.18,2
100437,1007,292.18,1
100432,1006,291.61,3
100433,1006,291.61,2
100434,1006,291.61,1
100429,1005,290.54,3
100430,1005,290.54,2
100431,1005,290.54,1
100420,1002,286.3,3
100421,1002,286.3,2
100422,1002,286.3,1
100389,3169,302.52,2
100390,3169,302.52,1
100369,1015,299.7,2
100370,1015,299.7,1
100294,3193,298.9,3
100295,3193,298.9,2
100296,3193,298.9,1
100290,3168,301.32,2
100291,3168,301.32,1
100280,3032,300.8,3
100281,3032,300.8,2
100282,3032,300.8,1
102315,10590,13.62,4
102316,10590,13.62,3
102317,10590,13.62,2
102318,10590,13.62,1
102287,10576,8.56,2
102288,10576,8.56,1
102278,10588,19.54,4
102279,10588,19.54,3
102280,10588,19.54,2
102281,10588,19.54,1
102269,10585,19.92,4
102270,10585,19.92,3
102271,10585,19.92,2
102272,10585,19.92,1
102265,10587,20.9,4
102266,10587,20.9,3
102267,10587,20.9,2
102268,10587,20.9,1
102261,10584,21.44,4
102262,10584,21.44,3
102263,10584,21.44,2
102264,10584,21.44,1
102253,10580,23.02,4
102254,10580,23.02,3
102255,10580,23.02,2
102256,10580,23.02,1
102249,10578,25.6,4
102250,10578,25.6,3
102251,10578,25.6,2
102252,10578,25.6,1
102238,10575,26.4,4
102239,10575,26.4,3
102240,10575,26.4,2
102241,10575,26.4,1
102236,10573,6.89,2
102237,10573,6.89,1
102168,10551,2.8,2
102169,10551,2.8,1
102166,10553,3.58,2
102167,10553,3.58,1
101984,230,24.82,4
101985,230,24.82,3
101986,230,24.82,2
101987,230,24.82,1
101917,1110,9.03,2
101918,1110,9.03,1
101074,3164,21.68,3
101075,3164,21.68,2
101076,3164,21.68,1
101068,3002,10.2,3
101069,3002,10.2,2
101070,3002,10.2,1
101050,3106,23.27,4
101051,3106,23.27,3
101052,3106,23.27,2
101053,3106,23.27,1
101048,3103,7.6,2
101049,3103,7.6,1
101046,3102,5.39,2
101047,3102,5.39,1
101043,3100,1.96,3
101044,3100,1.96,2
101045,3100,1.96,1
100962,232,24.92,4
100963,232,24.92,3
100964,232,24.92,2
